Código INE;Municipio;Provincia;Comunidad/ciudad autónoma
32003;A Arnoia;Ourense;Galicia
15007;A Baña;A Coruña;Galicia
32014;A Bola;Ourense;Galicia
36009;A Cañiza;Pontevedra;Galicia
15018;A Capela;A Coruña;Galicia
15030;A Coruña;A Coruña;Galicia
36017;A Estrada;Pontevedra;Galicia
27018;A Fonsagrada;Lugo;Galicia
36023;A Guarda;Pontevedra;Galicia
32034;A Gudiña;Ourense;Galicia
36901;A Illa de Arousa;Pontevedra;Galicia
36025;A Lama;Pontevedra;Galicia
15041;A Laracha;A Coruña;Galicia
32047;A Merca;Ourense;Galicia
32048;A Mezquita;Ourense;Galicia
27044;A Pastoriza;Lugo;Galicia
32059;A Peroxa;Ourense;Galicia
32063;A Pobra de Trives;Ourense;Galicia
27047;A Pobra do Brollón;Lugo;Galicia
15067;A Pobra do Caramiñal;A Coruña;Galicia
27048;A Pontenova;Lugo;Galicia
32072;A Rúa;Ourense;Galicia
32080;A Teixeira;Ourense;Galicia
32083;A Veiga;Ourense;Galicia
44001;Ababuj;Teruel;Aragón
40001;Abades;Segovia;Castilla y León
10001;Abadía;Cáceres;Extremadura
27001;Abadín;Lugo;Galicia
48001;Abadiño;Bizkaia;País Vasco/Euskadi
31001;Abáigar;Navarra;Comunidad Foral de Navarra
09001;Abajas;Burgos;Castilla y León
26001;Ábalos;La Rioja;La Rioja
20001;Abaltzisketa;Gipuzkoa;País Vasco/Euskadi
19001;Abánades;Guadalajara;Castilla-La Mancha
30001;Abanilla;Murcia;Región de Murcia
50001;Abanto;Zaragoza;Aragón
48002;Abanto y Ciérvana-Abanto Zierbena;Bizkaia;País Vasco/Euskadi
30002;Abarán;Murcia;Región de Murcia
34001;Abarca de Campos;Palencia;Castilla y León
31002;Abárzuza/Abartzuza;Navarra;Comunidad Foral de Navarra
31003;Abaurregaina/Abaurrea Alta;Navarra;Comunidad Foral de Navarra
31004;Abaurrepea/Abaurrea Baja;Navarra;Comunidad Foral de Navarra
15001;Abegondo;A Coruña;Galicia
42001;Abejar;Soria;Castilla y León
44002;Abejuela;Teruel;Aragón
25001;Abella de la Conca;Lleida;Cataluña/Catalunya
02001;Abengibre;Albacete;Castilla-La Mancha
13001;Abenójar;Ciudad Real;Castilla-La Mancha
31005;Aberin;Navarra;Comunidad Foral de Navarra
10002;Abertura;Cáceres;Extremadura
49002;Abezames;Zamora;Castilla y León
16001;Abia de la Obispalía;Cuenca;Castilla-La Mancha
34003;Abia de las Torres;Palencia;Castilla y León
22001;Abiego;Huesca;Aragón
22002;Abizanda;Huesca;Aragón
04001;Abla;Almería;Andalucía
19002;Ablanque;Guadalajara;Castilla-La Mancha
31006;Ablitas;Navarra;Comunidad Foral de Navarra
08001;Abrera;Barcelona;Cataluña/Catalunya
04002;Abrucena;Almería;Andalucía
37001;Abusejo;Salamanca;Castilla y León
24001;Acebedo;León;Castilla y León
10003;Acebo;Cáceres;Extremadura
06001;Acedera;Badajoz;Extremadura
10004;Acehúche;Cáceres;Extremadura
10005;Aceituna;Cáceres;Extremadura
50002;Acered;Zaragoza;Aragón
06002;Aceuchal;Badajoz;Extremadura
22003;Adahuesca;Huesca;Aragón
47001;Adalia;Valladolid;Castilla y León
14001;Adamuz;Córdoba;Andalucía
05001;Adanero;Ávila;Castilla y León
38001;Adeje;Santa Cruz de Tenerife;Canarias
46001;Ademuz;València/Valencia;Comunitat Valenciana
31007;Adiós;Navarra;Comunidad Foral de Navarra
19003;Adobes;Guadalajara;Castilla-La Mancha
46002;Ador;València/Valencia;Comunitat Valenciana
04003;Adra;Almería;Andalucía
09003;Adrada de Haza;Burgos;Castilla y León
40002;Adrada de Pirón;Segovia;Castilla y León
42003;Adradas;Soria;Castilla y León
40003;Adrados;Segovia;Castilla y León
20002;Aduna;Gipuzkoa;País Vasco/Euskadi
35001;Agaete;Las Palmas;Canarias
37002;Agallas;Salamanca;Castilla y León
25002;Àger;Lleida;Cataluña/Catalunya
36020;Agolada;Pontevedra;Galicia
50003;Agón;Zaragoza;Aragón
26002;Agoncillo;La Rioja;La Rioja
03002;Agost;Alacant/Alicante;Comunitat Valenciana
25003;Agramunt;Lleida;Cataluña/Catalunya
42004;Ágreda;Soria;Castilla y León
03003;Agres;Alacant/Alicante;Comunitat Valenciana
18001;Agrón;Granada;Andalucía
41001;Aguadulce;Sevilla;Andalucía
50004;Aguarón;Zaragoza;Aragón
09006;Aguas Cándidas;Burgos;Castilla y León
47002;Aguasal;Valladolid;Castilla y León
44003;Aguatón;Teruel;Aragón
44004;Aguaviva;Teruel;Aragón
13002;Agudo;Ciudad Real;Castilla-La Mancha
22004;Agüero;Huesca;Aragón
40004;Aguilafuente;Segovia;Castilla y León
09007;Aguilar de Bureba;Burgos;Castilla y León
34004;Aguilar de Campoo;Palencia;Castilla y León
47003;Aguilar de Campos;Valladolid;Castilla y León
31008;Aguilar de Codés;Navarra;Comunidad Foral de Navarra
14002;Aguilar de la Frontera;Córdoba;Andalucía
08002;Aguilar de Segarra;Barcelona;Cataluña/Catalunya
44005;Aguilar del Alfambra;Teruel;Aragón
26003;Aguilar del Río Alhama;La Rioja;La Rioja
30003;Águilas;Murcia;Región de Murcia
50005;Aguilón;Zaragoza;Aragón
35002;Agüimes;Las Palmas;Canarias
17001;Agullana;Girona;Cataluña/Catalunya
46004;Agullent;València/Valencia;Comunitat Valenciana
38002;Agulo;Santa Cruz de Tenerife;Canarias
01051;Agurain/Salvatierra;Araba/Álava;País Vasco/Euskadi
10006;Ahigal;Cáceres;Extremadura
37003;Ahigal de los Aceiteros;Salamanca;Castilla y León
37004;Ahigal de Villarino;Salamanca;Castilla y León
06003;Ahillones;Badajoz;Extremadura
20016;Aia;Gipuzkoa;País Vasco/Euskadi
31009;Aibar/Oibar;Navarra;Comunidad Foral de Navarra
46042;Aielo de Malferit;València/Valencia;Comunitat Valenciana
46043;Aielo de Rugat;València/Valencia;Comunitat Valenciana
08014;Aiguafreda;Barcelona;Cataluña/Catalunya
43001;Aiguamúrcia;Tarragona;Cataluña/Catalunya
17002;Aiguaviva;Girona;Cataluña/Catalunya
03004;Aigües;Alacant/Alicante;Comunitat Valenciana
12002;Aín;Castelló/Castellón;Comunitat Valenciana
22907;Aínsa-Sobrarbe;Huesca;Aragón
50006;Ainzón;Zaragoza;Aragón
22006;Aisa;Huesca;Aragón
25038;Aitona;Lleida;Cataluña/Catalunya
20003;Aizarnazabal;Gipuzkoa;País Vasco/Euskadi
28002;Ajalvir;Madrid;Comunidad de Madrid
26004;Ajamil de Cameros;La Rioja;La Rioja
48911;Ajangiz;Bizkaia;País Vasco/Euskadi
45001;Ajofrín;Toledo;Castilla-La Mancha
44006;Alacón;Teruel;Aragón
50007;Aladrén;Zaragoza;Aragón
47004;Alaejos;Valladolid;Castilla y León
50008;Alagón;Zaragoza;Aragón
10903;Alagón del Río;Cáceres;Extremadura
07002;Alaior;Illes Balears;Illes Balears
21001;Alájar;Huelva;Andalucía
38003;Alajeró;Santa Cruz de Tenerife;Canarias
29001;Alameda;Málaga;Andalucía
45002;Alameda de la Sagra;Toledo;Castilla-La Mancha
28003;Alameda del Valle;Madrid;Comunidad de Madrid
18002;Alamedilla;Granada;Andalucía
13003;Alamillo;Ciudad Real;Castilla-La Mancha
19004;Alaminos;Guadalajara;Castilla-La Mancha
06004;Alange;Badajoz;Extremadura
41002;Alanís;Sevilla;Andalucía
46005;Alaquàs;València/Valencia;Comunitat Valenciana
34005;Alar del Rey;Palencia;Castilla y León
37007;Alaraz;Salamanca;Castilla y León
50009;Alarba;Zaragoza;Aragón
16003;Alarcón;Cuenca;Castilla-La Mancha
19005;Alarilla;Guadalajara;Castilla-La Mancha
07001;Alaró;Illes Balears;Illes Balears
25005;Alàs i Cerc;Lleida;Cataluña/Catalunya
02002;Alatoz;Albacete;Castilla-La Mancha
44007;Alba;Teruel;Aragón
34006;Alba de Cerrato;Palencia;Castilla y León
37008;Alba de Tormes;Salamanca;Castilla y León
37009;Alba de Yeltes;Salamanca;Castilla y León
02003;Albacete;Albacete;Castilla-La Mancha
46006;Albaida;València/Valencia;Comunitat Valenciana
41003;Albaida del Aljarafe;Sevilla;Andalucía
46007;Albal;València/Valencia;Comunitat Valenciana
10007;Albalá;Cáceres;Extremadura
13004;Albaladejo;Ciudad Real;Castilla-La Mancha
16004;Albaladejo del Cuende;Cuenca;Castilla-La Mancha
46008;Albalat de la Ribera;València/Valencia;Comunitat Valenciana
46009;Albalat dels Sorells;València/Valencia;Comunitat Valenciana
46010;Albalat dels Tarongers;València/Valencia;Comunitat Valenciana
22007;Albalate de Cinca;Huesca;Aragón
16005;Albalate de las Nogueras;Cuenca;Castilla-La Mancha
19006;Albalate de Zorita;Guadalajara;Castilla-La Mancha
44008;Albalate del Arzobispo;Teruel;Aragón
22008;Albalatillo;Huesca;Aragón
04004;Albanchez;Almería;Andalucía
23001;Albanchez de Mágina;Jaén;Andalucía
17003;Albanyà;Girona;Cataluña/Catalunya
19007;Albares;Guadalajara;Castilla-La Mancha
44009;Albarracín;Teruel;Aragón
45003;Albarreal de Tajo;Toledo;Castilla-La Mancha
02004;Albatana;Albacete;Castilla-La Mancha
25007;Albatàrrec;Lleida;Cataluña/Catalunya
03005;Albatera;Alacant/Alicante;Comunitat Valenciana
22009;Albelda;Huesca;Aragón
26005;Albelda de Iregua;La Rioja;La Rioja
16006;Albendea;Cuenca;Castilla-La Mancha
19008;Albendiego;Guadalajara;Castilla-La Mancha
44010;Albentosa;Teruel;Aragón
46011;Alberic;València/Valencia;Comunitat Valenciana
26006;Alberite;La Rioja;La Rioja
50010;Alberite de San Juan;Zaragoza;Aragón
22011;Albero Alto;Huesca;Aragón
22012;Albero Bajo;Huesca;Aragón
22013;Alberuela de Tubo;Huesca;Aragón
25008;Albesa;Lleida;Cataluña/Catalunya
50011;Albeta;Zaragoza;Aragón
09009;Albillos;Burgos;Castilla y León
43002;Albinyana;Tarragona;Cataluña/Catalunya
20004;Albiztur;Gipuzkoa;País Vasco/Euskadi
12003;Albocàsser;Castelló/Castellón;Comunitat Valenciana
04005;Alboloduy;Almería;Andalucía
18003;Albolote;Granada;Andalucía
18004;Albondón;Granada;Andalucía
17004;Albons;Girona;Cataluña/Catalunya
46012;Alborache;València/Valencia;Comunitat Valenciana
46013;Alboraia/Alboraya;València/Valencia;Comunitat Valenciana
02005;Alborea;Albacete;Castilla-La Mancha
50012;Alborge;Zaragoza;Aragón
05005;Albornos;Ávila;Castilla y León
04006;Albox;Almería;Andalucía
30004;Albudeite;Murcia;Región de Murcia
46014;Albuixech;València/Valencia;Comunitat Valenciana
18005;Albuñán;Granada;Andalucía
18006;Albuñol;Granada;Andalucía
18007;Albuñuelas;Granada;Andalucía
06006;Alburquerque;Badajoz;Extremadura
45004;Alcabón;Toledo;Castilla-La Mancha
02006;Alcadozo;Albacete;Castilla-La Mancha
44011;Alcaine;Teruel;Aragón
50013;Alcalá de Ebro;Zaragoza;Aragón
41004;Alcalá de Guadaíra;Sevilla;Andalucía
22014;Alcalá de Gurrea;Huesca;Aragón
28005;Alcalá de Henares;Madrid;Comunidad de Madrid
44012;Alcalá de la Selva;Teruel;Aragón
16008;Alcalá de la Vega;Cuenca;Castilla-La Mancha
11001;Alcalá de los Gazules;Cádiz;Andalucía
50014;Alcalá de Moncayo;Zaragoza;Aragón
12004;Alcalà de Xivert;Castelló/Castellón;Comunitat Valenciana
02007;Alcalá del Júcar;Albacete;Castilla-La Mancha
22015;Alcalá del Obispo;Huesca;Aragón
41005;Alcalá del Río;Sevilla;Andalucía
11002;Alcalá del Valle;Cádiz;Andalucía
23002;Alcalá la Real;Jaén;Andalucía
03006;Alcalalí;Alacant/Alicante;Comunitat Valenciana
22016;Alcampell;Huesca;Aragón
26007;Alcanadre;La Rioja;La Rioja
43004;Alcanar;Tarragona;Cataluña/Catalunya
25010;Alcanó;Lleida;Cataluña/Catalunya
10008;Alcántara;Cáceres;Extremadura
30005;Alcantarilla;Murcia;Región de Murcia
46016;Alcàntera de Xúquer;València/Valencia;Comunitat Valenciana
16009;Alcantud;Cuenca;Castilla-La Mancha
49003;Alcañices;Zamora;Castilla y León
44013;Alcañiz;Teruel;Aragón
45005;Alcañizo;Toledo;Castilla-La Mancha
14003;Alcaracejos;Córdoba;Andalucía
02008;Alcaraz;Albacete;Castilla-La Mancha
25011;Alcarràs;Lleida;Cataluña/Catalunya
46015;Alcàsser;València/Valencia;Comunitat Valenciana
29002;Alcaucín;Málaga;Andalucía
23003;Alcaudete;Jaén;Andalucía
45006;Alcaudete de la Jara;Toledo;Castilla-La Mancha
13005;Alcázar de San Juan;Ciudad Real;Castilla-La Mancha
16010;Alcázar del Rey;Cuenca;Castilla-La Mancha
47005;Alcazarén;Valladolid;Castilla y León
13006;Alcoba;Ciudad Real;Castilla-La Mancha
28006;Alcobendas;Madrid;Comunidad de Madrid
19009;Alcocer;Guadalajara;Castilla-La Mancha
03007;Alcocer de Planes;Alacant/Alicante;Comunitat Valenciana
09010;Alcocero de Mola;Burgos;Castilla y León
16011;Alcohujate;Cuenca;Castilla-La Mancha
04007;Alcolea;Almería;Andalucía
13007;Alcolea de Calatrava;Ciudad Real;Castilla-La Mancha
22017;Alcolea de Cinca;Huesca;Aragón
19010;Alcolea de las Peñas;Guadalajara;Castilla-La Mancha
45007;Alcolea de Tajo;Toledo;Castilla-La Mancha
19011;Alcolea del Pinar;Guadalajara;Castilla-La Mancha
41006;Alcolea del Río;Sevilla;Andalucía
03008;Alcoleja;Alacant/Alicante;Comunitat Valenciana
25012;Alcoletge;Lleida;Cataluña/Catalunya
10009;Alcollarín;Cáceres;Extremadura
42006;Alconaba;Soria;Castilla y León
37012;Alconada;Salamanca;Castilla y León
40005;Alconada de Maderuelo;Segovia;Castilla y León
06007;Alconchel;Badajoz;Extremadura
50015;Alconchel de Ariza;Zaragoza;Aragón
16012;Alconchel de la Estrella;Cuenca;Castilla-La Mancha
06008;Alconera;Badajoz;Extremadura
04008;Alcóntar;Almería;Andalucía
28007;Alcorcón;Madrid;Comunidad de Madrid
44014;Alcorisa;Teruel;Aragón
19013;Alcoroches;Guadalajara;Castilla-La Mancha
43005;Alcover;Tarragona;Cataluña/Catalunya
03009;Alcoy/Alcoi;Alacant/Alicante;Comunitat Valenciana
22018;Alcubierre;Huesca;Aragón
42007;Alcubilla de Avellaneda;Soria;Castilla y León
42008;Alcubilla de las Peñas;Soria;Castilla y León
49004;Alcubilla de Nogales;Zamora;Castilla y León
13008;Alcubillas;Ciudad Real;Castilla-La Mancha
46018;Alcublas;València/Valencia;Comunitat Valenciana
07003;Alcúdia;Illes Balears;Illes Balears
04009;Alcudia de Monteagud;Almería;Andalucía
12006;Alcudia de Veo;Castelló/Castellón;Comunitat Valenciana
10010;Alcuéscar;Cáceres;Extremadura
46021;Aldaia;València/Valencia;Comunitat Valenciana
47006;Aldea de San Miguel;Valladolid;Castilla y León
10012;Aldea del Cano;Cáceres;Extremadura
28008;Aldea del Fresno;Madrid;Comunidad de Madrid
37015;Aldea del Obispo;Salamanca;Castilla y León
13009;Aldea del Rey;Ciudad Real;Castilla-La Mancha
45008;Aldea en Cabo;Toledo;Castilla-La Mancha
40012;Aldea Real;Segovia;Castilla y León
10011;Aldeacentenera;Cáceres;Extremadura
37013;Aldeacipreste;Salamanca;Castilla y León
37014;Aldeadávila de la Ribera;Salamanca;Castilla y León
42009;Aldealafuente;Soria;Castilla y León
40006;Aldealcorvo;Segovia;Castilla y León
37016;Aldealengua;Salamanca;Castilla y León
40007;Aldealengua de Pedraza;Segovia;Castilla y León
40008;Aldealengua de Santa María;Segovia;Castilla y León
42010;Aldealices;Soria;Castilla y León
42011;Aldealpozo;Soria;Castilla y León
42012;Aldealseñor;Soria;Castilla y León
47007;Aldeamayor de San Martín;Valladolid;Castilla y León
45009;Aldeanueva de Barbarroya;Toledo;Castilla-La Mancha
26008;Aldeanueva de Ebro;La Rioja;La Rioja
37017;Aldeanueva de Figueroa;Salamanca;Castilla y León
19015;Aldeanueva de Guadalajara;Guadalajara;Castilla-La Mancha
40009;Aldeanueva de la Serrezuela;Segovia;Castilla y León
37018;Aldeanueva de la Sierra;Salamanca;Castilla y León
10014;Aldeanueva de la Vera;Cáceres;Extremadura
45010;Aldeanueva de San Bartolomé;Toledo;Castilla-La Mancha
05007;Aldeanueva de Santa Cruz;Ávila;Castilla y León
10015;Aldeanueva del Camino;Cáceres;Extremadura
40010;Aldeanueva del Codonal;Segovia;Castilla y León
23004;Aldeaquemada;Jaén;Andalucía
37019;Aldearrodrigo;Salamanca;Castilla y León
37020;Aldearrubia;Salamanca;Castilla y León
05008;Aldeaseca;Ávila;Castilla y León
37021;Aldeaseca de Alba;Salamanca;Castilla y León
37022;Aldeaseca de la Frontera;Salamanca;Castilla y León
40013;Aldeasoña;Segovia;Castilla y León
37023;Aldeatejada;Salamanca;Castilla y León
37024;Aldeavieja de Tormes;Salamanca;Castilla y León
40014;Aldehorno;Segovia;Castilla y León
10016;Aldehuela de Jerte;Cáceres;Extremadura
37025;Aldehuela de la Bóveda;Salamanca;Castilla y León
50016;Aldehuela de Liestos;Zaragoza;Aragón
42013;Aldehuela de Periáñez;Soria;Castilla y León
37026;Aldehuela de Yeltes;Salamanca;Castilla y León
40015;Aldehuela del Codonal;Segovia;Castilla y León
18010;Aldeire;Granada;Andalucía
40016;Aldeonte;Segovia;Castilla y León
43006;Aldover;Tarragona;Cataluña/Catalunya
30006;Aledo;Murcia;Región de Murcia
20005;Alegia;Gipuzkoa;País Vasco/Euskadi
01001;Alegría-Dulantzi;Araba/Álava;País Vasco/Euskadi
08003;Alella;Barcelona;Cataluña/Catalunya
42015;Alentisque;Soria;Castilla y León
22019;Alerre;Huesca;Aragón
26009;Alesanco;La Rioja;La Rioja
26010;Alesón;La Rioja;La Rioja
18011;Alfacar;Granada;Andalucía
46022;Alfafar;València/Valencia;Comunitat Valenciana
03010;Alfafara;Alacant/Alicante;Comunitat Valenciana
50017;Alfajarín;Zaragoza;Aragón
44016;Alfambra;Teruel;Aragón
50018;Alfamén;Zaragoza;Aragón
22020;Alfántega;Huesca;Aragón
43008;Alfara de Carles;Tarragona;Cataluña/Catalunya
46024;Alfara de la Baronia;València/Valencia;Comunitat Valenciana
46025;Alfara del Patriarca;València/Valencia;Comunitat Valenciana
49005;Alfaraz de Sayago;Zamora;Castilla y León
29003;Alfarnate;Málaga;Andalucía
29004;Alfarnatejo;Málaga;Andalucía
26011;Alfaro;La Rioja;La Rioja
46026;Alfarp;València/Valencia;Comunitat Valenciana
25013;Alfarràs;Lleida;Cataluña/Catalunya
46027;Alfarrasí;València/Valencia;Comunitat Valenciana
46023;Alfauir;València/Valencia;Comunitat Valenciana
25014;Alfés;Lleida;Cataluña/Catalunya
12007;Alfondeguilla;Castelló/Castellón;Comunitat Valenciana
43009;Alforja;Tarragona;Cataluña/Catalunya
50019;Alforque;Zaragoza;Aragón
27002;Alfoz;Lugo;Galicia
09011;Alfoz de Bricia;Burgos;Castilla y León
39001;Alfoz de Lloredo;Cantabria;Cantabria
09907;Alfoz de Quintanadueñas;Burgos;Castilla y León
09012;Alfoz de Santa Gadea;Burgos;Castilla y León
24002;Algadefe;León;Castilla y León
07004;Algaida;Illes Balears;Illes Balears
41008;Algámitas;Sevilla;Andalucía
11003;Algar;Cádiz;Andalucía
19016;Algar de Mesa;Guadalajara;Castilla-La Mancha
46028;Algar de Palancia;València/Valencia;Comunitat Valenciana
18012;Algarinejo;Granada;Andalucía
16013;Algarra;Cuenca;Castilla-La Mancha
29005;Algarrobo;Málaga;Andalucía
29006;Algatocín;Málaga;Andalucía
11004;Algeciras;Cádiz;Andalucía
46029;Algemesí;València/Valencia;Comunitat Valenciana
25015;Algerri;Lleida;Cataluña/Catalunya
28009;Algete;Madrid;Comunidad de Madrid
46030;Algímia d'Alfara;València/Valencia;Comunitat Valenciana
12008;Algimia de Almonacid;Castelló/Castellón;Comunitat Valenciana
46031;Alginet;València/Valencia;Comunitat Valenciana
11005;Algodonales;Cádiz;Andalucía
49006;Algodre;Zamora;Castilla y León
19017;Algora;Guadalajara;Castilla-La Mancha
03012;Algorfa;Alacant/Alicante;Comunitat Valenciana
25016;Alguaire;Lleida;Cataluña/Catalunya
30007;Alguazas;Murcia;Región de Murcia
03013;Algueña;Alacant/Alicante;Comunitat Valenciana
04010;Alhabia;Almería;Andalucía
04011;Alhama de Almería;Almería;Andalucía
50020;Alhama de Aragón;Zaragoza;Aragón
18013;Alhama de Granada;Granada;Andalucía
30008;Alhama de Murcia;Murcia;Región de Murcia
13010;Alhambra;Ciudad Real;Castilla-La Mancha
29007;Alhaurín de la Torre;Málaga;Andalucía
29008;Alhaurín el Grande;Málaga;Andalucía
18014;Alhendín;Granada;Andalucía
19018;Alhóndiga;Guadalajara;Castilla-La Mancha
10017;Alía;Cáceres;Extremadura
44017;Aliaga;Teruel;Aragón
16014;Aliaguilla;Cuenca;Castilla-La Mancha
03014;Alacant/Alicante;Alacant/Alicante;Comunitat Valenciana
04012;Alicún;Almería;Andalucía
18015;Alicún de Ortega;Granada;Andalucía
24003;Alija del Infantado;León;Castilla y León
25017;Alins;Lleida;Cataluña/Catalunya
43010;Alió;Tarragona;Cataluña/Catalunya
19019;Alique;Guadalajara;Castilla-La Mancha
10018;Aliseda;Cáceres;Extremadura
42016;Aliud;Soria;Castilla y León
21002;Aljaraque;Huelva;Andalucía
06009;Aljucén;Badajoz;Extremadura
20006;Alkiza;Gipuzkoa;País Vasco/Euskadi
33001;Allande;Asturias;Principado de Asturias
32001;Allariz;Ourense;Galicia
44021;Allepuz;Teruel;Aragón
33002;Aller;Asturias;Principado de Asturias
31011;Allín/Allin;Navarra;Comunidad Foral de Navarra
31012;Allo;Navarra;Comunidad Foral de Navarra
44022;Alloza;Teruel;Aragón
44023;Allueva;Teruel;Aragón
25019;Almacelles;Lleida;Cataluña/Catalunya
29009;Almáchar;Málaga;Andalucía
13011;Almadén;Ciudad Real;Castilla-La Mancha
41009;Almadén de la Plata;Sevilla;Andalucía
13012;Almadenejos;Ciudad Real;Castilla-La Mancha
19020;Almadrones;Guadalajara;Castilla-La Mancha
13013;Almagro;Ciudad Real;Castilla-La Mancha
42017;Almajano;Soria;Castilla y León
42018;Almaluez;Soria;Castilla y León
02009;Almansa;Albacete;Castilla-La Mancha
24004;Almanza;León;Castilla y León
10019;Almaraz;Cáceres;Extremadura
49007;Almaraz de Duero;Zamora;Castilla y León
29010;Almargen;Málaga;Andalucía
42019;Almarza;Soria;Castilla y León
26012;Almarza de Cameros;La Rioja;La Rioja
46032;Almàssera;València/Valencia;Comunitat Valenciana
12009;Almassora;Castelló/Castellón;Comunitat Valenciana
25020;Almatret;Lleida;Cataluña/Catalunya
42020;Almazán;Soria;Castilla y León
42021;Almazul;Soria;Castilla y León
12010;Almedíjar;Castelló/Castellón;Comunitat Valenciana
13014;Almedina;Ciudad Real;Castilla-La Mancha
14004;Almedinilla;Córdoba;Andalucía
18016;Almegíjar;Granada;Andalucía
49008;Almeida de Sayago;Zamora;Castilla y León
25021;Almenar;Lleida;Cataluña/Catalunya
42022;Almenar de Soria;Soria;Castilla y León
12011;Almenara;Castelló/Castellón;Comunitat Valenciana
47008;Almenara de Adaja;Valladolid;Castilla y León
37027;Almenara de Tormes;Salamanca;Castilla y León
37028;Almendra;Salamanca;Castilla y León
06010;Almendral;Badajoz;Extremadura
45011;Almendral de la Cañada;Toledo;Castilla-La Mancha
06011;Almendralejo;Badajoz;Extremadura
16016;Almendros;Cuenca;Castilla-La Mancha
41010;Almensilla;Sevilla;Andalucía
04013;Almería;Almería;Andalucía
46033;Almiserà;València/Valencia;Comunitat Valenciana
50021;Almochuel;Zaragoza;Aragón
04014;Almócita;Almería;Andalucía
13015;Almodóvar del Campo;Ciudad Real;Castilla-La Mancha
16017;Almodóvar del Pinar;Cuenca;Castilla-La Mancha
14005;Almodóvar del Río;Córdoba;Andalucía
29011;Almogía;Málaga;Andalucía
19021;Almoguera;Guadalajara;Castilla-La Mancha
44018;Almohaja;Teruel;Aragón
10020;Almoharín;Cáceres;Extremadura
46034;Almoines;València/Valencia;Comunitat Valenciana
50023;Almonacid de la Cuba;Zaragoza;Aragón
50024;Almonacid de la Sierra;Zaragoza;Aragón
45012;Almonacid de Toledo;Toledo;Castilla-La Mancha
19022;Almonacid de Zorita;Guadalajara;Castilla-La Mancha
16018;Almonacid del Marquesado;Cuenca;Castilla-La Mancha
21004;Almonaster la Real;Huelva;Andalucía
21005;Almonte;Huelva;Andalucía
03015;Almoradí;Alacant/Alicante;Comunitat Valenciana
45013;Almorox;Toledo;Castilla-La Mancha
43011;Almoster;Tarragona;Cataluña/Catalunya
03016;Almudaina;Alacant/Alicante;Comunitat Valenciana
22021;Almudévar;Huesca;Aragón
22022;Almunia de San Juan;Huesca;Aragón
22023;Almuniente;Huesca;Aragón
18017;Almuñécar;Granada;Andalucía
13016;Almuradiel;Ciudad Real;Castilla-La Mancha
46035;Almussafes;València/Valencia;Comunitat Valenciana
44019;Alobras;Teruel;Aragón
19023;Alocén;Guadalajara;Castilla-La Mancha
48912;Alonsotegi;Bizkaia;País Vasco/Euskadi
29012;Álora;Málaga;Andalucía
25022;Alòs de Balaguer;Lleida;Cataluña/Catalunya
21006;Alosno;Huelva;Andalucía
19024;Alovera;Guadalajara;Castilla-La Mancha
29013;Alozaina;Málaga;Andalucía
17006;Alp;Girona;Cataluña/Catalunya
29014;Alpandeire;Málaga;Andalucía
42023;Alpanseque;Soria;Castilla y León
50026;Alpartir;Zaragoza;Aragón
28010;Alpedrete;Madrid;Comunidad de Madrid
08004;Alpens;Barcelona;Cataluña/Catalunya
44020;Alpeñés;Teruel;Aragón
02010;Alpera;Albacete;Castilla-La Mancha
25023;Alpicat;Lleida;Cataluña/Catalunya
46036;Alpuente;València/Valencia;Comunitat Valenciana
18904;Alpujarra de la Sierra;Granada;Andalucía
22024;Alquézar;Huesca;Aragón
18018;Alquife;Granada;Andalucía
04015;Alsodux;Almería;Andalucía
25024;Alt Àneu;Lleida;Cataluña/Catalunya
09013;Altable;Burgos;Castilla y León
43012;Altafulla;Tarragona;Cataluña/Catalunya
16019;Altarejos;Cuenca;Castilla-La Mancha
03018;Altea;Alacant/Alicante;Comunitat Valenciana
22025;Altorricón;Huesca;Aragón
31010;Altsasu/Alsasua;Navarra;Comunidad Foral de Navarra
12012;Altura;Castelló/Castellón;Comunitat Valenciana
20906;Altzaga;Gipuzkoa;País Vasco/Euskadi
20007;Altzo;Gipuzkoa;País Vasco/Euskadi
19027;Alustante;Guadalajara;Castilla-La Mancha
46017;Alzira;València/Valencia;Comunitat Valenciana
05012;Amavida;Ávila;Castilla y León
34009;Amayuelas de Arriba;Palencia;Castilla y León
50027;Ambel;Zaragoza;Aragón
28011;Ambite;Madrid;Comunidad de Madrid
17007;Amer;Girona;Cataluña/Catalunya
15002;Ames;A Coruña;Galicia
31013;Améscoa Baja;Navarra;Comunidad Foral de Navarra
09016;Ameyugo;Burgos;Castilla y León
20008;Amezketa;Gipuzkoa;País Vasco/Euskadi
33003;Amieva;Asturias;Principado de Asturias
32002;Amoeiro;Ourense;Galicia
48003;Amorebieta-Etxano;Bizkaia;País Vasco/Euskadi
48004;Amoroto;Bizkaia;País Vasco/Euskadi
43014;Amposta;Tarragona;Cataluña/Catalunya
34010;Ampudia;Palencia;Castilla y León
39002;Ampuero;Cantabria;Cantabria
01002;Amurrio;Araba/Álava;País Vasco/Euskadi
34011;Amusco;Palencia;Castilla y León
47009;Amusquillo;Valladolid;Castilla y León
44024;Anadón;Teruel;Aragón
40017;Anaya;Segovia;Castilla y León
37029;Anaya de Alba;Salamanca;Castilla y León
